bangla,standard_takla,vowel_change,vowel_removal,h_reduction,consonant_replacement,pure_shorthand,comb_THR_VC_VR,comb_VR_VC,comb_SHORT_VC_RPSS_THR,comb_SHORT_THR_VR_RPSS_VC,comb_VC_VR,comb_VC_RPSS_VR,comb_VC,comb_RPSS_SHORT_THR,comb_SHORT,comb_THR_RPSS_VC_VR_SHORT,comb_SHORT_RPSS_VR_VC,comb_VR_SHORT_RPSS_THR,comb_RPSS_SHORT_VR,comb_SHORT_THR_VR_RPSS,comb_RPSS_VR_SHORT,comb_THR_VC_RPSS_SHORT
যেকোনো সমস্যা সমাধানের জন্য দরকার আগে সমস্যার মূল শনাক্ত করা,zekono shmoshya shmadhanero jonno dorokaro age shmoshyaro mulo shonakto kora,zakona shmoshya shmudhunero jonno dorokuro aga shmoshyuro malo shonakta kara,zekno shmshya shmadhanero jonno dorokaro age shmshyaro mulo shnakto kora,zekono shmoshya smadanero jonno dorokaro age shmoshyaro mulo shonakto kora,jekono chhmochya chhmadhanero zonno dorokaro age chhmochhyaro mulo chhonakto kora,zkno shmshya shmdhnro jnno drkro age shmshyro mlo shnkto kra,zakano shmsya shmdnara jnno darakaro aga shmashyara mla shnakta kara,,,,,,,,,,,,,,,
যদি দেখা যায় ইন্টারনেট বা সামাজিক যোগাযোগমাধ্যম ব্যবহারের কারণে তুমি পারিবারিক কাজে সময় দিতে পারছ না,jodi dekha zayo internet ba shamajiko zogazogomaddhomo bboboharero karone tumi paribariko kaje shmoyo dite parocho na,jade dakha zayo internat ba shamujika zogazagamuddhomo bboboharara kurana tumi paribariko kuje shmoyo deta paracha na,jodi dekha zyo intrnt ba shamajiko zogzogmaddhmo bbobharro krne tmi pribariko kje shmyo dte procho na,jodi deka zayo internet ba samajiko zogazogomaddhomo bboboharero karone tumi paribariko kaje smoyo dite parocho na,zodi dekha zayo internet ba chhamaziko zogajogomaddhomo bboboharero karone tumi paribariko kaze chmoyo dite parosho na,jdi dkha zyo intrnt ba shmjko zgzgmddhmo bbbhrro krne tmi prbrko kje shmyo dte prcho na,,jadi dakha zayo enternt ba shmajeko zgazogmuddhmo bbbahurra krona tame prbarka kaja shmayo deta parcho na,,,,,,,,,,,,,,
পুরনো বন্ধুর সঙ্গে যোগাযোগ কমে যাচ্ছে,purono bondhuro shnge zogazogo kome zacche,purano bondhara shnga zogazago kama zaccha,purono bondhuro shnge zogzgo kme zacche,purono bondhuro shnge zogazogo kome zacce,purono bondhuro chnge zogajogo kome zassshe,prno bndhro shnge zgzgo kme zcche,,,prno bndro chnga zgzgo kme zsssa,,,,,,,,,,,,,
স্মার্টফোনটা ভুল করে বাসায় ফেলে আসায় অস্বস্তি লাগছে খুব,smartphone ta bhulo kore bashayo fele ashayo osshosti lagoche khubo,smartphane ta bhulo kare bashuyo fale ashuya asshaste lagache khabo,smartphn ta bhlo kre bshayo fele ashyo osshosti lagoche khbo,smartpone ta bhulo kore basayo fele asayo ossosti lagoce khubo,chmartphone ta bhulo kore bachayo phele achayo ochchhochti lagoshe khubo,smrtphn ta bhlo kre bshyo fle ashyo osshsti lgche khbo,,,,cmrtphn ta blo kre bchhya phle achhyo achccti lgssha kba,,,,,,,,,,,,
গ্যাজেট ছাড়া এক মুহূর্তও চিন্তা করতে পারছ না তবে তুমি ইন্টারনেট আসক্তিতে ভুগছ,gadget chhara eko muhurtoo chinta korote parocho na tobe tumi internet ashktite bhugocho,gudgat chhura aka muhartoo chinta korote purocha na taba tumi internet ashktete bhugocho,gdgt chhra eko mhrtoo chinta krote parcho na tbe tmi internet ashktite bhgcho,gadget cara eko muurtoo cinta korote parocho na tobe tumi internet ashktite bugoco,gadget sshhara eko muhurtoo sshinta korote parosho na tobe tumi internet achhktite bhugosho,gdgt chhra eko mhrto chnta krte prcho na tbe tmi intrnt ashktte bhgcho,,,,,gudgt chhara eka mharto chinta korate puracha na tbe tme enternat ashktta bhagocho,,,,,,,,,,,
সমস্যাটি শনাক্ত করার পর প্রথম কাজ হলো দিনের একটি নির্দিষ্ট সময় বের করা যখন তোমার চৌহদ্দিতে কোনো ধরনের গ্যাজেট থাকবে না,shmoshyati shonakto koraro pro prothomo kajo holo dinero ekoti nirdishto shmoyo bero kora jokhono tomaro chouhoddite kono dhoronero gadget thakobe na,shmashyute shonukta korara pro prothomo kuja hola dinera akoti nerdishto shmoyo bera kara jokhono tamura chouhaddite kano dharanara gudget thakabe na,shmoshyati shnkto korro pro prthomo kajo hlo dinero ekti nrdshto shmyo bro kra jokhno tomaro chhddite kono dhrnro gdget thakobe na,smosyati sonakto koraro pro protomo kajo holo dinero ekoti nirdisto shmoyo bero kora jokhono tomaro chouhoddite kono doronero gadget takobe na,chhmochhyati chonakto koraro pro prothomo kajo holo dinero ekoti nirdichto chmoyo bero kora zokhono tomaro shouhoddite kono dhoronero gadget thakobe na,shmshyti shnkto krro pro prthmo kjo hlo dnro ekti nrdshto shmyo bro kra jkhno tmro chhddte kno dhrnro gdgt thkbe na,,,,,,chhmchhyte chnukta krara pro prothma kuzo hla dinera akote nrdichto chmya bero kra jakhana tamro sshuhoddte kna dharnera gadget thkabe na,,,,,,,,,,
এ সময় বই পড়ে বা পরিবারের সদস্যদের সঙ্গে কিংবা শুধু বন্ধুদের সঙ্গে কথা বলে কাটাবে,e shmoyo boi pre ba pribarero shdoshyodero shnge kingba shudhu bondhudero shnge kotha bole katabe,a shmaya boi pre ba prebararo shdashyodaro shnge kingba shadhu bandhadera shnge kotha bola kutabe,e shmoyo boi pre ba prbarero shdshydro shnge kingba shudhu bndhudero shnge ktha bole ktabe,e smoyo boi pre ba pribarero sdoshyodero snge kingba shudu bondhudero shnge kotha bole katabe,e chmoyo boi pre ba pribarero chhdochyodero chnge kingba chhudhu bondhudero chnge kotha bole katabe,e shmyo bi pre ba prbrro shdshydro shnge kngba shdhu bndhdro shnge ktha ble ktbe,,,,,,,a shmayo boi pre ba priburaro shdashyadaro shnga kengba shadhu bondhudaro shnga kotha bala kataba,,,,,,,,,
ফোনটা এ সময় বন্ধ রাখলেই ভালো,fonota e shmoyo bondho rakholei bhalo,fonata a shmoya bandha rukholei bhula,fonota e shmyo bondho rkhlei bhalo,fonota e smoyo bondho rakolei balo,phonota e chmoyo bondho rakholei bhalo,fnta e shmyo bndho rkhli bhlo,,,,,,,,pnta e chmyo bndho rkli blo,,,,,,,,
নিজের ইন্টারনেট ব্যবহার পর্যবেক্ষণের জন্য স্মার্টফোনে ব্যবহার করা যেতে পারে স্টে ফোকাসড,nijero internet bboboharo przobekkhonero jonno smartphone e bboboharo kora zete pare stay focoused,nijera intarnat bbabaharo przobekkhanero jonno smurtphana e bbabohura kara zeta para stay facoused,nijro internt bbobharo przbkkhonero jonno smrtphone e bbobhro kra zte pare sty fcosed,nijero internet bboboharo przobekkhonero jonno smartpone e bboboaro kora zete pare stay focoused,nizero internet bboboharo przobekkhonero jonno chmartphone e bboboharo kora zete pare chtay phosouched,njro intrnt bbbhro przbkkhnro jnno smrtphn e bbbhro kra zte pre sty fcsd,,,,,,,,,njro intrnt bbbhro przbkkhnro jnno smrtphn e bbbhro kra zte pre sty fcsd,,,,,,,
পিসির জন্যও রয়েছে এ ধরনের ব্রাউজার এক্সটেনশন যা নির্দিষ্ট সময়ে কোনো একটি সাইটে সময় কাটানোর পর সেটি ব্লক করে দেয়,pc er jonnoo royeche e dhoronero browser extention za nirdishto shmoye kono ekoti site e shmoyo katanoro pro seti bloko kore deyo,pc er jannoo royecha e dharanero browsar axtantion za nerdeshto shmoye kana ekati seta e shmaya kutanara pra sate bloka kore deyo,pc er jonnoo ryeche e dhoronero brwsr extntn za nirdshto shmoye kono ekoti site e shmoyo katanoro pro seti blko kore deyo,pc er jonnoo royece e doronero browser extention za nirdishto shmoye kono ekoti site e shmoyo katanoro pro seti bloko kore deyo,pss er jonnoo royesshe e dhoronero browcer extention za nirdichhto chmoye kono ekoti chite e chhmoyo katanoro pro ceti bloko kore deyo,pc r jnno ryche e dhrnro brwsr extntn za nrdshto shmye kno ekti st e shmyo ktnro pro sti blko kre dyo,pc r jnnoo ryeche e dhrnera browsr axtntion za nerdista shmye kno akti sta a shmya ktnora pro sate blka kore dya,,,,,,,,,,,,,,,
আমরা সাধারণত আমাদের এসব যন্ত্রনির্ভরতা নিয়ে খুব একটা ভাবতে চাই না,amora shadharonoto amadero eshbo jontronirbhorota niye khubo ekota bhabote chai na,amora shudharonato amadero ashbo jontronirbharata niya khaba ekata bhubate chai na,amora shadhrnoto amdro eshbo jontronirbhrta nye khubo ekota bhabote chi na,amora shadharonoto amadero esbo jontronirborota niye khubo ekota bhabote chai na,amora chhadharonoto amadero echbo zontronirbhorota niye khubo ekota bhabote shai na,amra shdhrnto amdro eshbo jntrnrbhrta nye khbo ekta bhbte chi na,,,,,,,,,,amra chdrnta amdra acba zntrnrbhrta nye khba akta bhbta shi na,,,,,,
দিনে কী পরিমাণ কোন সাইটে সময় যাচ্ছে সেটা ভাবার চেষ্টা করো,dine ki primano kono site e shmoyo zacche seta bhabaro cheshta koro,dena ke primana kano sita a shmayo zuccha seta bhuburo chashta karo,dine ki prmano kono sit e shmyo zacche seta bhbaro cheshta kro,dine ki primano kono site e smoyo zacche seta bhabaro cesta koro,dine ki primano kono cite e chhmoyo zassshe ceta bhabaro shechhta koro,dne ki prmno kno st e shmyo zcche sta bhbro chshta kro,,,,,,,,,,,dna ki prmna kno cht e chmya jssssha chta bhbra sshchhta kro,,,,,
হিসাব করে দেখো যে এক দিনে যদি শুধু অহেতুক চ্যাট করে এক ঘণ্টা সময় যায় তবে এক মাসে কিন্তু ৩০ ঘণ্টা অর্থাত্ প্রায় দেড় দিনের কর্মঘণ্টা নষ্ট হচ্ছে,hishabo kore dekho ze eko dine jodi shudhu ohetuko chat kore eko ghonta shmoyo zayo tobe eko mase kintu ghonta orthato prayo dero dinero kormoghonta noshto hocche,heshuba kara dekha ze ako dene jode shadhu ohataka chut kara eko ghanta shmoyo zayo tabe ako masa kintu ghonta arthato praya daro dinera kormoghonta noshto hocche,hishbo kre dekho ze eko dne jodi shdhu ohtuko cht kre eko ghonta shmoyo zyo tobe eko mse kintu ghonta orthato prayo dro dinero kormghnta nshto hocche,hishabo kore deko ze eko dine jodi shudhu oetuko cat kore eko ghonta smoyo zayo tobe eko mase kintu ghonta orthato prayo dero dinero kormogonta nosto hocche,hichabo kore dekho je eko dine zodi chudhu ohetuko shat kore eko ghonta chmoyo zayo tobe eko mace kintu ghonta orthato prayo dero dinero kormoghonta nochhto hossshe,hshbo kre dkho ze eko dne jdi shdhu ohtko cht kre eko ghnta shmyo zyo tbe eko mse kntu ghnta orthto pryo dro dnro krmghnta nshto hcche,,,,,,,,,,,,hchbo kre dkho je eko dne jdi chdu otko ssht kre eko gnta chmyo jyo tbe eko mce kntu gnta ortto pryo dro dnro krmgnta ncto hsse,,,,
পর্যবেক্ষণের প্রক্রিয়াটা চালু থাকলেও দেখবে কম্পিউটার বা স্মার্টফোন ব্যবহারে তুমি ধীরে ধীরে বেশ পরিমিত হয়ে উঠছ,przobekkhonero prokriyata chalu thakoleo dekhobe computer ba smartphone bbobohare tumi dhire dhire besho primito hoye uthocho,przabakkhanera prakreyata chalu thakoleo dekhoba camputar ba smartphane bbobahure tame dhire dhira basha premeta haye uthacha,przbkkhonero prkriyata chalu thakleo dkhobe cmputr ba smrtphne bbobhare tmi dhire dhre besho prmto hoye uthcho,przobekkonero prokriyata chalu takoleo dekobe computer ba smartphone bbobohare tumi dhire dhire besho primito hoye uthoco,przobekkhonero prokriyata sshalu thakoleo dekhobe somputer ba cmartphone bbobohare tumi dhire dhire bechho primito hoye uthossho,przbkkhnro prkryta chlu thklo dkhbe cmptr ba smrtphne bbbhre tmi dhre dhre bsho prmto hye uthcho,,,,,,,,,,,,,przbkkhnro prkryta sshlu thklo dkhbe ssmptr ba chmrtphne bbbhre tmi dhre dhre bcho prmto hye uthssho,,,
ইন্টারনেট ব্যবহার বেড়েছে না কমেছে সেটা বিবেচনা করে ব্যবস্থা নাও,internet bboboharo bereche na komeche seta bibechona kore bbobostha nao,internat bboboharo beracha na kamecha sata bebachana kore bbobastha nao,intrnet bbbohro berche na kmeche seta bbchna kre bbbostha no,internet bboboharo bereche na komece seta bibechona kore bbobostha nao,internet bboboharo beresshe na komeshe cheta bibeshona kore bboboctha nao,intrnt bbbhro brche na kmche sta bbchna kre bbbstha no,,,,,entarnt bbbhro barche na komche sta bebachana kre bbbastha no,,,,,,,,,,,
রুটিনেও আনা দরকার পরিবর্তন,routine eo ana dorokaro pribortono,routine eo ana dorakuro pribortona,rotn o ana drkaro pribortono,routine eo ana dorokaro pribortono,routine eo ana dorokaro pribortono,rtn o ana drkro prbrtno,,,,,,,,,,,,,,rtn o ana drkro prbrtno,,
দিনের একটা বড় সময় ইন্টারনেট থেকে সরে আসার পর নিজেকে একটা করে পয়েন্ট দিতে পারো পুরস্কার হিসেবে,dinero ekota boro shmoyo internet theke shre asharo pro nijeke ekota kore point dite paro puroshkaro hisebe,dinara ekota baro shmaya internet thake shra ashura pra nejaka akata kore point dita paro purashkaro heseba,dnro ekota bro shmoyo internet thke shre ashro pro nijeke ekota kore pont dte pro purshkaro hisbe,dinero ekota boro smoyo internet theke shre asharo pro nijeke ekota kore point dite paro puroshkaro hisebe,dinero ekota boro chhmoyo internet theke chhre achharo pro nijeke ekota kore point dite paro purochhkaro hicebe,dnro ekta bro shmyo intrnt thke shre ashro pro njke ekta kre pnt dte pro prshkro hsbe,,,,,,,,,,,,,,,dnro ekta bro chhmyo intrnt thke chre achhro pro nzke ekta kre pnt dte pro prchhkro hcbe,
ধরে নাও এটাও একটা গেম যে খেলায় তোমাকে সেরা হতে হবে,dhore nao etao ekota game ze khelayo tomake sera hote hobe,dhara nao atao akata gama ze khaluya tomuka sara hote hobe,dhore nao etao ekota gme ze khlayo tmke sra hte hobe,dhore nao etao ekota game ze khelayo tomake sera hote hobe,dhore nao etao ekota game ze khelayo tomake chera hote hobe,dhre no eto ekta gme ze khlyo tmke sra hte hbe,,,,,,,dhora nao atao ekata guma za khaluyo tomaka sara hota haba,,,,,,,,,
দেখবে গ্যাজেট থেকে দূরে থাকলেও তোমার অস্বস্তি ভাবটা আর থাকবে না,dekhobe gadget theke dure thakoleo tomaro osshosti bhabota aro thakobe na,dekhobe gadget theka dure thakoleo tomaro asshosti bhabota aro thakabe na,dekhbe gadget theke dre thkleo tmaro osshosti bhabota aro thkobe na,dekhobe gadget teke dure takoleo tomaro ossosti bhabota aro takobe na,dekhobe gadget theke dure thakoleo tomaro ochchocti bhabota aro thakobe na,dkhbe gdgt thke dre thklo tmro osshsti bhbta aro thkbe na,,,,,,,,,,,,,,,,dkhba gdgt tke dre tklo tmro achchcte bhbta ara thkba na
